t_s,imu,report,x,y,z,w
4.428161,0x4B,accel,9.046875,1.136719,0.019531,
4.429432,0x4A,gyro,0.007812,-0.007812,0.011719,
4.430517,0x4B,gyro,0.009766,-0.001953,0.017578,
4.431158,0x4A,accel,8.207031,-3.777344,0.199219,
4.431786,0x4B,accel,9.089844,1.136719,0.019531,
4.432403,0x4A,accel,8.246094,-3.777344,0.199219,
4.434306,0x4A,gyro,0.000000,-0.007812,0.015625,
4.435453,0x4B,gyro,0.013672,-0.001953,0.017578,
4.436081,0x4A,accel,8.203125,-3.816406,0.199219,
4.436698,0x4B,accel,9.050781,1.175781,-0.019531,
4.437939,0x4B,gyro,0.009766,-0.003906,0.023438,
4.438553,0x4A,gyro,0.007812,-0.009766,0.011719,
4.439814,0x4B,accel,9.089844,1.136719,0.019531,
4.440928,0x4A,accel,8.207031,-3.777344,0.199219,
4.443451,0x4A,gyro,0.003906,-0.007812,0.011719,
4.444104,0x4B,gyro,0.011719,-0.007812,0.017578,
4.445135,0x4A,accel,8.207031,-3.816406,0.238281,
4.446219,0x4B,accel,9.011719,1.214844,0.019531,
4.448081,0x4A,accel,8.164062,-3.777344,0.238281,
4.448710,0x4B,accel,9.007812,1.175781,0.058594,
4.450042,0x4A,gyro,0.000000,-0.011719,0.007812,
4.450694,0x4B,gyro,0.015625,-0.015625,0.021484,
4.451907,0x4B,accel,9.007812,1.175781,0.093750,
4.452528,0x4A,accel,8.164062,-3.777344,0.238281,
4.454161,0x4A,gyro,0.005859,-0.011719,0.013672,
4.455379,0x4B,gyro,0.015625,-0.011719,0.019531,
4.456331,0x4A,accel,8.164062,-3.777344,0.238281,
4.456968,0x4B,accel,9.011719,1.214844,0.093750,
4.458838,0x4A,gyro,0.007812,-0.011719,0.015625,
4.459592,0x4B,gyro,0.013672,-0.015625,0.023438,
4.460644,0x4A,accel,8.164062,-3.777344,0.238281,
4.461581,0x4B,accel,8.972656,1.214844,0.093750,
4.463478,0x4A,gyro,0.007812,-0.011719,0.015625,
4.464127,0x4B,gyro,0.017578,-0.015625,0.023438,
4.465155,0x4A,accel,8.167969,-3.777344,0.199219,
4.466018,0x4B,accel,9.011719,1.214844,0.058594,
4.467293,0x4B,accel,8.968750,1.175781,0.058594,
4.467912,0x4A,accel,8.164062,-3.777344,0.277344,
4.468531,0x4B,gyro,0.013672,-0.015625,0.025391,
4.469166,0x4A,gyro,-0.001953,-0.017578,0.017578,
4.471536,0x4B,accel,9.007812,1.175781,0.058594,
4.472156,0x4A,accel,8.207031,-3.816406,0.238281,
4.473363,0x4A,gyro,-0.001953,-0.019531,0.013672,
4.473972,0x4B,gyro,0.003906,-0.023438,0.023438,
4.476057,0x4B,accel,9.011719,1.136719,-0.019531,
4.476687,0x4A,accel,8.203125,-3.777344,0.238281,
4.478541,0x4B,gyro,0.005859,-0.025391,0.025391,
4.479171,0x4A,gyro,-0.001953,-0.017578,0.015625,
4.480217,0x4B,accel,9.050781,1.136719,-0.097656,
4.481317,0x4A,accel,8.207031,-3.816406,0.164062,
4.483301,0x4B,accel,9.011719,1.136719,-0.058594,
4.483973,0x4A,gyro,-0.007812,-0.019531,0.017578,
4.485239,0x4B,gyro,0.015625,-0.015625,0.021484,
4.486322,0x4A,accel,8.207031,-3.777344,0.199219,
4.486960,0x4B,accel,9.011719,1.136719,-0.058594,
4.488771,0x4A,gyro,-0.003906,-0.017578,0.015625,
4.489831,0x4B,gyro,0.007812,-0.023438,0.023438,
4.490867,0x4A,accel,8.164062,-3.777344,0.238281,
4.491513,0x4B,accel,9.011719,1.175781,-0.097656,
4.492132,0x4A,accel,8.164062,-3.777344,0.238281,
4.493358,0x4A,gyro,-0.001953,-0.023438,0.019531,
4.493972,0x4B,gyro,0.019531,-0.025391,0.025391,
4.496010,0x4B,accel,9.050781,1.175781,-0.132812,
4.496684,0x4A,accel,8.203125,-3.777344,0.164062,
4.498573,0x4B,gyro,0.003906,-0.025391,0.021484,
4.499229,0x4A,gyro,0.000000,-0.025391,0.017578,
4.500264,0x4B,accel,9.125000,1.101562,-0.097656,
4.501335,0x4A,accel,8.246094,-3.855469,0.164062,
4.503246,0x4B,accel,9.128906,1.062500,-0.019531,
4.503893,0x4A,gyro,-0.003906,-0.021484,0.013672,
4.505158,0x4B,gyro,0.003906,-0.023438,0.021484,
4.506225,0x4A,accel,8.203125,-3.855469,0.199219,
4.506853,0x4B,accel,9.011719,1.062500,0.058594,
4.508669,0x4A,gyro,-0.011719,-0.025391,0.011719,
4.509297,0x4B,gyro,0.015625,-0.023438,0.023438,
4.510305,0x4A,accel,8.203125,-3.777344,0.238281,
4.511356,0x4B,accel,9.011719,1.062500,0.058594,
4.511983,0x4A,accel,8.167969,-3.816406,0.238281,
4.513308,0x4A,gyro,0.000000,-0.025391,0.007812,
4.514136,0x4B,gyro,0.013672,-0.029297,0.023438,
4.516080,0x4B,accel,9.089844,1.101562,-0.019531,
4.516739,0x4A,accel,8.164062,-3.816406,0.199219,
4.518688,0x4B,gyro,0.013672,-0.031250,0.025391,
4.519369,0x4A,gyro,0.000000,-0.025391,0.011719,
4.520420,0x4B,accel,9.046875,1.136719,-0.132812,
4.521462,0x4A,accel,8.203125,-3.816406,0.199219,
4.522117,0x4B,accel,9.125000,1.101562,-0.171875,
4.523348,0x4B,gyro,0.007812,-0.029297,0.021484,
4.523980,0x4A,gyro,-0.003906,-0.025391,0.005859,
4.526041,0x4A,accel,8.167969,-3.855469,0.164062,
4.526723,0x4B,accel,9.164062,1.101562,-0.171875,
4.528528,0x4A,gyro,-0.011719,-0.029297,0.003906,
4.529144,0x4B,gyro,0.005859,-0.029297,0.029297,
4.530162,0x4A,accel,8.203125,-3.894531,0.164062,
4.531033,0x4B,accel,9.164062,1.062500,-0.171875,
4.532934,0x4A,accel,8.246094,-3.855469,0.238281,
4.534618,0x4A,gyro,-0.009766,-0.019531,-0.009766,
4.535669,0x4B,gyro,0.000000,-0.025391,0.023438,
4.536309,0x4A,accel,8.242188,-3.777344,0.164062,
4.536953,0x4B,accel,9.089844,1.101562,-0.132812,
4.539275,0x4A,gyro,-0.011719,-0.023438,-0.009766,
4.540323,0x4B,gyro,0.000000,-0.021484,0.027344,
4.541385,0x4A,accel,8.207031,-3.777344,0.199219,
4.542015,0x4B,accel,9.046875,1.101562,-0.058594,
4.543252,0x4B,accel,9.011719,1.062500,-0.058594,
4.543876,0x4A,gyro,-0.013672,-0.019531,-0.007812,
4.544499,0x4B,gyro,0.001953,-0.027344,0.027344,
4.545518,0x4A,accel,8.203125,-3.777344,0.164062,
4.546563,0x4B,accel,9.011719,1.062500,0.019531,
4.548393,0x4A,gyro,-0.013672,-0.021484,-0.007812,
4.549029,0x4B,gyro,-0.003906,-0.025391,0.027344,
4.550029,0x4A,accel,8.207031,-3.777344,0.199219,
4.551079,0x4B,accel,9.011719,1.062500,-0.019531,
4.551720,0x4A,accel,8.207031,-3.777344,0.199219,
4.553590,0x4B,gyro,0.001953,-0.031250,0.019531,
4.554647,0x4A,gyro,-0.011719,-0.023438,0.000000,
4.555715,0x4B,accel,9.007812,1.023438,-0.019531,
4.556353,0x4A,accel,8.167969,-3.777344,0.199219,
4.558221,0x4B,accel,9.011719,1.062500,0.019531,
4.559329,0x4A,gyro,-0.011719,-0.021484,0.000000,
4.560349,0x4B,gyro,0.005859,-0.031250,0.015625,
4.561403,0x4A,accel,8.207031,-3.777344,0.199219,
4.562039,0x4B,accel,9.011719,1.062500,0.019531,
4.563873,0x4A,gyro,-0.011719,-0.025391,0.001953,
4.564497,0x4B,gyro,-0.003906,-0.037109,0.013672,
4.565507,0x4A,accel,8.207031,-3.777344,0.199219,
4.566558,0x4B,accel,8.972656,1.062500,0.019531,
4.568388,0x4A,gyro,-0.011719,-0.027344,0.000000,
4.569021,0x4B,gyro,-0.001953,-0.039062,0.017578,
4.570041,0x4A,accel,8.203125,-3.738281,0.164062,
4.571082,0x4B,accel,9.011719,1.136719,-0.019531,
4.572966,0x4A,accel,8.203125,-3.777344,0.238281,
4.573602,0x4B,gyro,-0.003906,-0.035156,0.011719,
4.574252,0x4A,gyro,-0.013672,-0.029297,0.000000,
4.574889,0x4B,accel,8.972656,1.136719,-0.019531,
4.575536,0x4A,accel,8.203125,-3.738281,0.238281,
4.578739,0x4B,accel,9.011719,1.136719,-0.019531,
4.579443,0x4A,gyro,-0.013672,-0.031250,0.000000,
4.580189,0x4B,gyro,-0.005859,-0.044922,0.007812,
4.581230,0x4A,accel,8.242188,-3.777344,0.164062,
4.581866,0x4B,accel,9.011719,1.136719,-0.058594,
4.583689,0x4A,gyro,-0.017578,-0.029297,0.001953,
4.584314,0x4B,gyro,-0.005859,-0.041016,0.009766,
4.585308,0x4A,accel,8.242188,-3.777344,0.164062,
4.586364,0x4B,accel,9.011719,1.101562,-0.058594,
4.588817,0x4B,gyro,-0.005859,-0.044922,0.011719,
4.589462,0x4A,gyro,-0.019531,-0.035156,0.001953,
4.590509,0x4B,accel,9.046875,1.062500,-0.058594,
4.591246,0x4A,accel,8.246094,-3.777344,0.199219,
4.592547,0x4A,accel,8.203125,-3.816406,0.199219,
4.593797,0x4A,gyro,-0.015625,-0.035156,0.007812,
4.594442,0x4B,gyro,-0.003906,-0.042969,0.005859,
4.596214,0x4B,accel,9.011719,1.101562,-0.019531,
4.596828,0x4A,accel,8.242188,-3.777344,0.164062,
4.598670,0x4B,accel,9.050781,1.101562,-0.097656,
4.599288,0x4A,gyro,-0.013672,-0.029297,0.003906,
4.600087,0x4B,gyro,-0.007812,-0.048828,0.007812,
4.601117,0x4A,accel,8.203125,-3.816406,0.199219,
4.601890,0x4B,accel,9.050781,1.101562,-0.097656,
4.603735,0x4A,gyro,-0.013672,-0.033203,0.001953,
4.604360,0x4B,gyro,-0.007812,-0.050781,0.003906,
4.605386,0x4A,accel,8.207031,-3.816406,0.164062,
4.606449,0x4B,accel,9.050781,1.136719,-0.097656,
4.608938,0x4B,gyro,-0.001953,-0.050781,0.009766,
4.609589,0x4A,gyro,-0.015625,-0.037109,0.009766,
4.610619,0x4B,accel,9.050781,1.136719,-0.097656,
4.611288,0x4A,accel,8.242188,-3.816406,0.199219,
4.613730,0x4A,accel,8.246094,-3.816406,0.164062,
4.614342,0x4B,accel,9.050781,1.136719,-0.097656,
4.615294,0x4A,gyro,-0.015625,-0.037109,0.003906,
4.615924,0x4B,gyro,-0.005859,-0.044922,0.003906,
4.616545,0x4A,accel,8.246094,-3.816406,0.164062,
4.617212,0x4B,accel,9.050781,1.136719,-0.097656,
4.618461,0x4B,gyro,-0.007812,-0.048828,0.001953,
