t_s,imu,report,x,y,z,w
4.525601,0x4A,quat,-0.176086,-0.716614,0.146912,0.658691
4.526246,0x4B,accel,9.355469,0.753906,-1.207031,
4.526895,0x4A,accel,8.398438,-4.160156,-0.832031,
4.528077,0x4B,gyro,-0.001953,-0.009766,0.007812,
4.528085,0x4B,quat,0.029724,-0.748474,-0.024353,0.662048
4.528753,0x4A,accel,8.363281,-4.160156,-0.796875,
4.529421,0x4B,accel,9.316406,0.753906,-1.207031,
4.530651,0x4A,gyro,-0.005859,-0.013672,0.003906,
4.530659,0x4A,quat,-0.176086,-0.716614,0.146912,0.658630
4.531310,0x4B,accel,9.355469,0.718750,-1.167969,
4.531957,0x4A,accel,8.398438,-4.160156,-0.832031,
4.534753,0x4B,gyro,-0.003906,-0.005859,0.009766,
4.534763,0x4B,quat,0.029724,-0.748474,-0.024353,0.662048
4.535841,0x4A,gyro,-0.003906,-0.005859,0.007812,
4.536498,0x4B,accel,9.355469,0.753906,-1.128906,
4.537647,0x4A,quat,-0.176147,-0.716675,0.146912,0.658630
4.537651,0x4A,accel,8.398438,-4.160156,-0.832031,
4.539300,0x4B,gyro,-0.003906,-0.005859,0.015625,
4.539305,0x4B,quat,0.029663,-0.748535,-0.024292,0.661987
4.540600,0x4A,gyro,-0.009766,-0.007812,0.007812,
4.541228,0x4B,accel,9.355469,0.718750,-1.246094,
4.542360,0x4A,quat,-0.176147,-0.716675,0.146912,0.658630
4.542364,0x4A,accel,8.359375,-4.160156,-0.832031,
4.543731,0x4B,gyro,-0.003906,-0.009766,0.013672,
4.545151,0x4A,gyro,-0.005859,-0.011719,0.001953,
4.546360,0x4B,quat,0.029663,-0.748596,-0.024292,0.661926
4.546368,0x4B,accel,9.351562,0.679688,-1.207031,
4.547567,0x4A,quat,-0.176208,-0.716675,0.146912,0.658569
4.547574,0x4A,accel,8.398438,-4.160156,-0.871094,
4.549324,0x4B,gyro,0.001953,-0.005859,0.009766,
4.549331,0x4B,quat,0.029663,-0.748596,-0.024292,0.661926
4.550016,0x4A,accel,8.359375,-4.160156,-0.832031,
4.550656,0x4B,accel,9.351562,0.640625,-1.207031,
4.552104,0x4A,gyro,-0.003906,-0.007812,0.005859,
4.552126,0x4A,quat,-0.176208,-0.716736,0.146912,0.658569
4.552134,0x4A,accel,8.359375,-4.160156,-0.910156,
4.552796,0x4B,accel,9.312500,0.640625,-1.246094,
4.553441,0x4A,gyro,-0.001953,-0.001953,0.005859,
4.555567,0x4B,gyro,0.001953,0.000000,0.007812,
4.555571,0x4B,quat,0.029602,-0.748657,-0.024292,0.661865
4.555575,0x4B,accel,9.351562,0.679688,-1.246094,
4.556459,0x4A,quat,-0.176208,-0.716736,0.146912,0.658569
4.557081,0x4B,gyro,0.003906,-0.003906,0.007812,
4.557730,0x4A,accel,8.359375,-4.160156,-0.832031,
4.558706,0x4B,quat,0.029602,-0.748657,-0.024231,0.661865
4.559361,0x4A,gyro,0.001953,-0.007812,0.005859,
4.560012,0x4B,accel,9.351562,0.679688,-1.246094,
4.561818,0x4A,quat,-0.176208,-0.716736,0.146973,0.658508
4.561822,0x4A,accel,8.398438,-4.160156,-0.832031,
4.562453,0x4B,gyro,0.005859,-0.003906,0.005859,
4.564678,0x4B,quat,0.029602,-0.748718,-0.024231,0.661804
4.564686,0x4B,accel,9.355469,0.718750,-1.246094,
4.565537,0x4A,gyro,-0.005859,-0.007812,0.003906,
4.566205,0x4B,accel,9.355469,0.718750,-1.246094,
4.567381,0x4A,quat,-0.176270,-0.716736,0.146973,0.658508
4.567388,0x4A,accel,8.363281,-4.199219,-0.871094,
4.568694,0x4B,gyro,0.007812,-0.003906,0.007812,
4.569340,0x4A,gyro,0.000000,-0.005859,0.011719,
4.570244,0x4B,quat,0.029602,-0.748718,-0.024231,0.661804
4.571439,0x4A,quat,-0.176270,-0.716736,0.146973,0.658508
4.571447,0x4A,accel,8.359375,-4.160156,-0.871094,
4.572110,0x4B,accel,9.355469,0.718750,-1.207031,
4.572759,0x4A,accel,8.359375,-4.121094,-0.832031,
4.574639,0x4B,gyro,0.000000,-0.005859,0.005859,
4.574645,0x4B,quat,0.029602,-0.748718,-0.024170,0.661743
4.576572,0x4A,gyro,0.000000,-0.005859,0.007812,
4.576577,0x4A,quat,-0.176270,-0.716736,0.146973,0.658447
4.577187,0x4B,accel,9.355469,0.753906,-1.207031,
4.577812,0x4A,accel,8.359375,-4.160156,-0.832031,
4.579560,0x4B,gyro,0.005859,-0.003906,0.013672,
4.579564,0x4B,quat,0.029602,-0.748779,-0.024170,0.661743
4.581541,0x4A,gyro,0.000000,-0.003906,0.007812,
4.581545,0x4A,quat,-0.176331,-0.716736,0.147034,0.658447
4.582159,0x4B,accel,9.316406,0.753906,-1.207031,
