t_s,stream,v1,v2,v3,v4
8.364074,shank_gyro,0.000000,0.000000,0.000000,
8.364306,encoder,121.113281,,,
8.365330,foot_gyro,0.000000,0.000000,0.001953,
8.365561,heel_fsr,403,,,
8.366200,shank_accel,-0.335938,2.441406,-9.671875,
8.366990,foot_accel,0.812500,2.007812,-9.492188,
8.367602,shank_accel,-0.414062,2.441406,-9.714844,
8.368214,foot_accel,0.851562,2.007812,-9.531250,
8.368438,toe_fsr,-4,,,
8.369610,shank_gyro,0.000000,0.000000,0.000000,
8.369839,encoder,121.113281,,,
8.370914,foot_gyro,0.001953,0.000000,0.000000,
8.371144,heel_fsr,415,,,
8.371815,shank_accel,-0.375000,2.402344,-9.675781,
8.373698,shank_gyro,0.000000,0.000000,0.000000,
8.373949,toe_fsr,6,,,
8.374379,encoder,121.113281,,,
8.375076,foot_accel,0.812500,2.007812,-9.492188,
8.375881,shank_accel,-0.335938,2.402344,-9.710938,
8.376143,heel_fsr,417,,,
8.377011,foot_gyro,0.001953,-0.003906,-0.001953,
8.377678,shank_gyro,0.000000,0.000000,0.000000,
8.377927,toe_fsr,0,,,
8.378357,encoder,121.113281,,,
8.379016,foot_accel,0.851562,2.007812,-9.492188,
8.380037,shank_accel,-0.375000,2.402344,-9.675781,
8.380271,heel_fsr,415,,,
8.382291,foot_gyro,0.005859,0.000000,0.000000,
8.382295,foot_accel,0.851562,2.007812,-9.531250,
8.382521,toe_fsr,-2,,,
8.383911,shank_gyro,0.000000,0.000000,0.000000,
8.384145,encoder,121.113281,,,
8.385169,foot_gyro,-0.003906,-0.001953,0.000000,
8.385399,heel_fsr,407,,,
8.386063,shank_accel,-0.375000,2.402344,-9.675781,
8.386858,foot_accel,0.812500,2.007812,-9.492188,
8.387474,shank_accel,-0.335938,2.441406,-9.714844,
8.388310,toe_fsr,4,,,
8.389606,shank_gyro,0.000000,0.000000,0.000000,
8.389836,encoder,121.113281,,,
8.390903,foot_gyro,-0.003906,-0.001953,-0.001953,
8.391155,heel_fsr,407,,,
8.391795,shank_accel,-0.335938,2.402344,-9.710938,
8.392619,foot_accel,0.812500,2.007812,-9.531250,
8.393275,shank_gyro,0.000000,0.000000,0.000000,
8.393526,encoder,121.113281,,,
8.394165,foot_accel,0.851562,1.968750,-9.531250,
8.394415,toe_fsr,4,,,
8.395658,shank_accel,-0.375000,2.441406,-9.671875,
8.396630,foot_gyro,0.001953,-0.001953,-0.001953,
8.396871,heel_fsr,414,,,
8.398301,foot_accel,0.851562,2.007812,-9.562500,
8.398954,shank_gyro,0.000000,0.000000,0.000000,
8.399219,encoder,121.113281,,,
8.400281,foot_gyro,0.003906,0.005859,0.000000,
8.400527,toe_fsr,-3,,,
8.401402,shank_accel,-0.335938,2.402344,-9.675781,
8.402066,foot_accel,0.851562,2.042969,-9.531250,
8.402314,heel_fsr,408,,,
8.402948,shank_gyro,0.000000,0.000000,0.000000,
8.403194,encoder,121.113281,,,
8.404057,foot_gyro,0.007812,-0.003906,0.001953,
8.405113,shank_accel,-0.335938,2.441406,-9.671875,
8.405345,toe_fsr,4,,,
8.406578,foot_accel,0.851562,2.007812,-9.492188,
8.407208,shank_accel,-0.335938,2.441406,-9.714844,
8.407434,heel_fsr,407,,,
8.409260,shank_gyro,0.000000,0.000000,0.000000,
8.409510,toe_fsr,7,,,
8.409947,encoder,121.113281,,,
8.411010,foot_gyro,-0.005859,-0.001953,-0.003906,
8.411276,heel_fsr,411,,,
8.411930,shank_accel,-0.335938,2.363281,-9.675781,
8.412784,foot_accel,0.812500,2.007812,-9.531250,
8.413439,shank_gyro,0.000000,0.000000,0.000000,
8.413689,toe_fsr,-1,,,
8.414122,encoder,121.113281,,,
8.415239,foot_accel,0.812500,2.007812,-9.492188,
8.415532,heel_fsr,409,,,
8.416179,shank_accel,-0.335938,2.402344,-9.710938,
8.417007,foot_gyro,0.001953,0.000000,0.003906,
8.418292,foot_accel,0.812500,2.007812,-9.531250,
8.418698,toe_fsr,-2,,,
8.419867,shank_gyro,0.000000,0.000000,0.000000,
8.420104,encoder,121.113281,,,
8.421153,foot_gyro,-0.003906,0.000000,-0.005859,
8.421387,heel_fsr,406,,,
8.422007,shank_accel,-0.375000,2.402344,-9.710938,
8.422801,foot_accel,0.812500,2.007812,-9.531250,
8.423426,shank_accel,-0.335938,2.402344,-9.675781,
8.423660,encoder,121.113281,,,
8.424842,foot_gyro,0.000000,0.001953,0.001953,
8.425073,toe_fsr,8,,,
8.425851,shank_gyro,0.000000,0.000000,0.000000,
8.426672,foot_accel,0.812500,2.007812,-9.531250,
8.426920,heel_fsr,411,,,
8.427573,shank_accel,-0.375000,2.402344,-9.710938,
8.429396,shank_gyro,0.000000,0.000000,0.000000,
8.429645,toe_fsr,-1,,,
8.430076,encoder,121.113281,,,
8.431170,foot_gyro,-0.001953,0.003906,-0.001953,
8.431437,heel_fsr,409,,,
8.432080,shank_accel,-0.335938,2.402344,-9.710938,
8.432938,foot_accel,0.851562,2.007812,-9.531250,
8.433584,shank_gyro,0.000000,0.000000,0.000000,
8.433941,toe_fsr,-4,,,
8.434330,encoder,121.113281,,,
8.435284,foot_accel,0.851562,2.007812,-9.531250,
8.435920,shank_accel,-0.335938,2.402344,-9.710938,
8.436151,heel_fsr,424,,,
8.436933,foot_gyro,0.001953,-0.001953,0.003906,
8.438146,foot_accel,0.851562,2.007812,-9.492188,
8.438368,toe_fsr,3,,,
8.439548,shank_gyro,0.000000,0.000000,0.000000,
8.439779,encoder,121.113281,,,
8.440800,foot_gyro,0.001953,0.001953,-0.001953,
8.441031,heel_fsr,410,,,
8.441664,shank_accel,-0.335938,2.441406,-9.714844,
8.442464,foot_accel,0.812500,2.007812,-9.492188,
8.443083,shank_accel,-0.375000,2.402344,-9.675781,
8.443314,encoder,121.113281,,,
8.443942,foot_gyro,-0.001953,-0.001953,0.001953,
8.444174,toe_fsr,0,,,
8.445147,shank_gyro,0.000000,0.000000,0.000000,
8.446200,foot_accel,0.851562,2.007812,-9.492188,
8.446422,heel_fsr,417,,,
8.447073,shank_accel,-0.335938,2.402344,-9.710938,
8.448957,shank_gyro,0.000000,0.000000,0.000000,
8.449206,toe_fsr,-2,,,
8.449635,encoder,121.113281,,,
8.450713,foot_gyro,0.001953,0.001953,0.000000,
8.450973,heel_fsr,412,,,
8.451645,shank_accel,-0.335938,2.441406,-9.671875,
8.452486,foot_accel,0.851562,2.042969,-9.453125,
8.453375,encoder,121.113281,,,
8.454027,foot_accel,0.812500,2.042969,-9.492188,
8.454287,toe_fsr,-1,,,
8.455444,shank_gyro,0.000000,0.000000,0.000000,
8.456076,foot_gyro,0.001953,-0.001953,0.000000,
8.456300,heel_fsr,424,,,
8.456911,shank_accel,-0.335938,2.402344,-9.710938,
8.457690,foot_accel,0.851562,2.042969,-9.492188,
8.458300,shank_gyro,0.000000,0.000000,0.000000,
8.458531,encoder,121.113281,,,
8.459297,foot_gyro,0.000000,0.000000,0.001953,
8.459534,toe_fsr,8,,,
8.460778,shank_accel,-0.335938,2.441406,-9.753906,
8.461708,foot_accel,0.812500,2.007812,-9.531250,
8.461934,heel_fsr,420,,,
8.462545,shank_accel,-0.375000,2.402344,-9.710938,
8.464205,encoder,121.113281,,,
8.465371,foot_gyro,-0.003906,-0.003906,-0.003906,
8.465633,toe_fsr,-3,,,
8.466471,shank_gyro,0.000000,0.000000,0.000000,
8.467128,foot_accel,0.812500,2.007812,-9.492188,
8.467399,heel_fsr,418,,,
8.468066,shank_accel,-0.375000,2.402344,-9.675781,
8.468328,encoder,121.113281,,,
8.469181,foot_gyro,-0.001953,-0.001953,0.000000,
8.470237,shank_gyro,0.000000,0.000000,0.000000,
8.470485,toe_fsr,3,,,
8.471334,foot_accel,0.812500,2.007812,-9.492188,
8.471983,shank_accel,-0.375000,2.402344,-9.675781,
8.472216,heel_fsr,423,,,
8.474269,shank_gyro,0.000000,0.000000,0.000000,
8.474491,toe_fsr,6,,,
8.474872,encoder,121.113281,,,
8.475504,foot_accel,0.812500,2.007812,-9.492188,
8.476189,shank_accel,-0.375000,2.402344,-9.710938,
8.476424,heel_fsr,417,,,
8.477787,foot_gyro,-0.001953,0.001953,0.003906,
8.477794,foot_accel,0.812500,2.007812,-9.492188,
8.478414,shank_gyro,0.000000,0.000000,0.000000,
8.478638,toe_fsr,3,,,
8.479021,encoder,121.113281,,,
8.479657,foot_gyro,0.001953,-0.001953,-0.001953,
8.480625,shank_accel,-0.414062,2.402344,-9.710938,
8.480854,heel_fsr,412,,,
8.481805,foot_accel,0.812500,2.007812,-9.531250,
8.482453,shank_accel,-0.375000,2.441406,-9.671875,
8.482703,toe_fsr,-5,,,
8.483135,encoder,121.113281,,,
8.483791,foot_gyro,0.003906,0.000000,-0.001953,
8.484597,shank_gyro,0.000000,0.000000,0.000000,
8.484863,heel_fsr,416,,,
8.486106,foot_accel,0.812500,2.007812,-9.562500,
8.486764,shank_accel,-0.375000,2.402344,-9.710938,
8.487016,toe_fsr,0,,,
8.488478,shank_gyro,0.000000,0.000000,0.000000,
8.488743,encoder,121.113281,,,
8.489806,foot_gyro,-0.001953,-0.001953,0.005859,
8.490069,heel_fsr,418,,,
8.491140,shank_accel,-0.375000,2.402344,-9.710938,
8.491928,foot_accel,0.851562,2.042969,-9.492188,
8.493352,toe_fsr,7,,,
8.494660,shank_gyro,0.000000,0.000000,0.000000,
8.494888,encoder,121.113281,,,
8.495518,foot_accel,0.812500,2.007812,-9.492188,
8.495750,heel_fsr,423,,,
8.496374,shank_accel,-0.335938,2.402344,-9.710938,
8.497790,foot_gyro,-0.001953,0.001953,-0.005859,
8.497794,foot_accel,0.812500,2.007812,-9.492188,
8.498417,shank_gyro,0.000000,0.000000,0.000000,
8.498641,toe_fsr,-4,,,
8.499024,encoder,121.113281,,,
8.499652,foot_gyro,-0.001953,0.000000,0.000000,
8.500295,shank_accel,-0.375000,2.441406,-9.714844,
8.500522,heel_fsr,424,,,
8.501742,foot_accel,0.812500,2.007812,-9.531250,
8.502394,shank_accel,-0.335938,2.402344,-9.675781,
8.502641,toe_fsr,2,,,
8.504262,shank_gyro,0.000000,0.000000,0.000000,
8.504514,heel_fsr,418,,,
8.504769,encoder,121.113281,,,
8.506044,foot_gyro,0.001953,0.000000,-0.005859,
8.506702,shank_accel,-0.375000,2.402344,-9.710938,
8.506951,toe_fsr,6,,,
8.507789,foot_accel,0.851562,2.007812,-9.492188,
8.508431,shank_gyro,0.000000,0.000000,0.000000,
8.508681,heel_fsr,413,,,
8.508936,encoder,121.113281,,,
8.509963,foot_gyro,0.003906,-0.001953,0.001953,
8.511029,shank_accel,-0.414062,2.402344,-9.710938,
8.511838,foot_accel,0.812500,2.007812,-9.492188,
8.513272,toe_fsr,-2,,,
8.514491,shank_gyro,0.000000,0.000000,0.000000,
8.514721,encoder,121.113281,,,
8.515500,foot_gyro,-0.003906,-0.001953,0.000000,
8.515742,heel_fsr,409,,,
8.516385,shank_accel,-0.375000,2.402344,-9.710938,
8.517189,foot_accel,0.812500,2.042969,-9.531250,
8.518547,foot_accel,0.812500,2.007812,-9.531250,
8.518794,toe_fsr,-2,,,
8.520131,shank_gyro,0.000000,0.000000,0.000000,
8.520400,encoder,121.113281,,,
8.521495,foot_gyro,0.005859,-0.001953,-0.001953,
8.521756,heel_fsr,424,,,
8.522420,shank_accel,-0.375000,2.402344,-9.675781,
8.523274,foot_accel,0.812500,2.007812,-9.531250,
8.525473,shank_accel,-0.375000,2.441406,-9.714844,
8.525484,shank_gyro,0.000000,0.000000,0.000000,
8.525775,toe_fsr,8,,,
8.526238,encoder,121.113281,,,
8.526985,foot_gyro,0.000000,0.001953,0.000000,
8.527658,shank_accel,-0.414062,2.402344,-9.710938,
8.527930,heel_fsr,413,,,
8.528168,encoder,121.113281,,,
8.528992,foot_accel,0.812500,2.007812,-9.492188,
8.530008,shank_gyro,0.000000,0.000000,0.000000,
8.530243,toe_fsr,-2,,,
8.531841,foot_gyro,0.001953,0.000000,-0.001953,
8.531847,foot_accel,0.812500,2.042969,-9.531250,
8.532078,heel_fsr,412,,,
8.532698,shank_accel,-0.375000,2.402344,-9.675781,
8.533492,foot_accel,0.812500,2.042969,-9.531250,
8.534669,shank_accel,-0.335938,2.402344,-9.675781,
8.534898,toe_fsr,-3,,,
8.535290,encoder,121.113281,,,
8.535938,foot_gyro,0.005859,0.001953,0.000000,
8.536581,shank_gyro,0.000000,0.000000,0.000000,
8.536846,heel_fsr,414,,,
8.537679,foot_accel,0.812500,2.042969,-9.492188,
8.538325,shank_accel,-0.375000,2.441406,-9.714844,
8.538589,encoder,121.113281,,,
8.539459,foot_gyro,0.003906,0.003906,0.001953,
8.539729,toe_fsr,9,,,
8.541266,shank_gyro,0.000000,0.000000,0.000000,
8.541516,heel_fsr,421,,,
8.542351,foot_accel,0.812500,2.042969,-9.531250,
8.543042,shank_accel,-0.375000,2.402344,-9.710938,
8.543322,toe_fsr,2,,,
8.543783,encoder,121.113281,,,
8.544450,foot_gyro,-0.003906,-0.003906,0.000000,
8.545499,shank_gyro,0.000000,0.000000,0.000000,
8.545767,heel_fsr,413,,,
8.546926,foot_accel,0.812500,2.007812,-9.531250,
8.547568,shank_accel,-0.375000,2.441406,-9.671875,
8.547802,toe_fsr,-1,,,
8.548196,encoder,121.113281,,,
8.549838,shank_gyro,0.000000,0.000000,0.000000,
8.550069,heel_fsr,415,,,
8.551292,foot_gyro,0.000000,0.000000,0.000000,
8.551929,shank_accel,-0.375000,2.402344,-9.675781,
8.552153,toe_fsr,1,,,
8.552937,foot_accel,0.851562,2.007812,-9.492188,
8.553567,shank_accel,-0.375000,2.402344,-9.675781,
8.553798,encoder,121.113281,,,
8.554421,foot_accel,0.812500,2.042969,-9.531250,
8.554650,heel_fsr,416,,,
8.555487,shank_gyro,0.000000,0.000000,0.000000,
8.556710,foot_gyro,-0.005859,0.000000,-0.001953,
8.557322,shank_accel,-0.375000,2.402344,-9.710938,
8.557544,toe_fsr,8,,,
8.558355,foot_accel,0.851562,2.007812,-9.453125,
8.559589,shank_gyro,0.000000,0.000000,0.000000,
8.559843,heel_fsr,423,,,
8.560097,encoder,121.113281,,,
8.561377,foot_gyro,0.000000,0.000000,0.000000,
8.562018,shank_accel,-0.375000,2.441406,-9.714844,
8.562264,toe_fsr,1,,,
8.563097,foot_accel,0.812500,2.007812,-9.492188,
8.563743,shank_gyro,0.000000,0.000000,0.000000,
8.563991,heel_fsr,411,,,
8.564243,encoder,121.113281,,,
8.565280,foot_gyro,0.000000,0.000000,0.000000,
8.566317,shank_accel,-0.375000,2.402344,-9.710938,
8.567121,foot_accel,0.812500,2.007812,-9.492188,
8.568543,toe_fsr,-3,,,
8.569700,shank_gyro,0.000000,0.000000,0.000000,
8.569939,encoder,121.113281,,,
8.571030,foot_gyro,-0.003906,0.000000,0.001953,
8.571272,heel_fsr,422,,,
8.571920,shank_accel,-0.375000,2.402344,-9.675781,
8.572733,foot_accel,0.851562,2.007812,-9.492188,
8.573363,shank_accel,-0.375000,2.402344,-9.710938,
8.573598,encoder,121.113281,,,
8.574222,foot_accel,0.851562,2.042969,-9.492188,
8.574457,toe_fsr,7,,,
8.575251,shank_gyro,0.000000,0.000000,0.000000,
8.575902,foot_gyro,0.001953,-0.003906,0.000000,
8.576535,shank_accel,-0.335938,2.441406,-9.671875,
8.576773,heel_fsr,427,,,
8.577558,foot_accel,0.851562,2.042969,-9.562500,
8.578521,encoder,121.113281,,,
8.579512,foot_gyro,0.005859,0.001953,0.000000,
8.579788,toe_fsr,1,,,
8.581007,shank_gyro,0.000000,0.000000,0.000000,
8.581941,foot_accel,0.851562,2.007812,-9.531250,
8.582215,heel_fsr,414,,,
8.582884,shank_accel,-0.375000,2.402344,-9.710938,
8.583170,encoder,121.113281,,,
8.584023,foot_gyro,0.000000,-0.001953,0.003906,
8.585063,shank_gyro,0.000000,0.000000,0.000000,
8.585300,toe_fsr,-2,,,
8.586488,foot_accel,0.812500,2.042969,-9.492188,
8.587136,shank_accel,-0.375000,2.402344,-9.675781,
8.587410,heel_fsr,418,,,
8.588883,shank_gyro,0.000000,0.000000,0.000000,
8.589153,encoder,121.113281,,,
8.590186,foot_gyro,0.003906,-0.003906,0.001953,
8.590451,toe_fsr,6,,,
8.591280,shank_accel,-0.375000,2.402344,-9.710938,
8.591949,foot_accel,0.851562,2.007812,-9.531250,
8.592203,heel_fsr,399,,,
8.592852,shank_accel,-0.335938,2.402344,-9.675781,
8.593706,foot_gyro,-0.001953,0.001953,-0.001953,
8.594799,shank_gyro,0.000000,0.000000,0.000000,
8.595049,toe_fsr,-1,,,
8.595490,encoder,121.113281,,,
8.596162,foot_accel,0.851562,2.042969,-9.492188,
8.596832,shank_accel,-0.335938,2.441406,-9.714844,
8.597252,heel_fsr,395,,,
8.598060,foot_accel,0.851562,2.007812,-9.492188,
8.598675,shank_gyro,0.000000,0.000000,0.000000,
8.598907,encoder,121.113281,,,
8.599591,foot_gyro,-0.007812,0.000000,0.003906,
8.599853,toe_fsr,-6,,,
8.601111,shank_accel,-0.375000,2.402344,-9.675781,
8.601967,foot_accel,0.851562,2.007812,-9.531250,
8.602195,heel_fsr,418,,,
8.604657,shank_gyro,0.000000,0.000000,0.000000,
8.604890,toe_fsr,4,,,
8.605282,encoder,121.113281,,,
8.606311,foot_gyro,0.001953,-0.001953,0.001953,
8.606942,shank_accel,-0.375000,2.402344,-9.710938,
8.607178,heel_fsr,417,,,
8.607962,foot_accel,0.851562,2.007812,-9.531250,
8.608612,shank_accel,-0.335938,2.402344,-9.750000,
8.608981,encoder,121.113281,,,
8.610113,foot_gyro,-0.003906,0.001953,0.000000,
8.610377,toe_fsr,4,,,
8.611226,shank_gyro,0.000000,0.000000,0.000000,
8.611889,foot_accel,0.812500,2.007812,-9.531250,
8.612144,heel_fsr,407,,,
8.612802,shank_accel,-0.335938,2.402344,-9.675781,
8.613638,foot_accel,0.812500,2.042969,-9.531250,
8.614609,shank_gyro,0.000000,0.000000,0.000000,
8.614859,toe_fsr,-3,,,
8.615291,encoder,121.113281,,,
8.615960,foot_gyro,0.000000,0.000000,-0.001953,
8.616615,shank_accel,-0.375000,2.402344,-9.710938,
8.616854,heel_fsr,407,,,
8.617637,foot_accel,0.851562,2.007812,-9.531250,
8.618466,encoder,121.113281,,,
8.619520,foot_gyro,0.000000,0.000000,0.000000,
8.619757,toe_fsr,1,,,
8.620951,shank_gyro,0.000000,0.000000,0.000000,
8.621993,foot_accel,0.851562,2.042969,-9.531250,
8.622221,heel_fsr,416,,,
8.622842,shank_accel,-0.300781,2.402344,-9.675781,
8.624882,shank_gyro,0.000000,0.000000,0.000000,
8.625108,toe_fsr,8,,,
8.625521,encoder,121.113281,,,
8.626574,foot_gyro,0.003906,0.000000,0.001953,
8.626853,heel_fsr,407,,,
8.627507,shank_accel,-0.375000,2.441406,-9.671875,
8.628365,foot_accel,0.851562,2.042969,-9.492188,
8.629639,shank_accel,-0.375000,2.441406,-9.714844,
8.629887,toe_fsr,1,,,
8.630318,encoder,121.113281,,,
8.631432,foot_gyro,-0.003906,-0.001953,0.000000,
8.631699,heel_fsr,401,,,
8.632352,shank_gyro,0.000000,0.000000,0.000000,
8.633199,foot_accel,0.851562,2.007812,-9.531250,
8.634488,shank_accel,-0.335938,2.441406,-9.671875,
8.634713,toe_fsr,-3,,,
8.635094,encoder,121.113281,,,
8.635740,foot_accel,0.851562,2.007812,-9.531250,
8.636374,shank_gyro,0.000000,0.000000,0.000000,
8.636608,heel_fsr,406,,,
8.637992,foot_gyro,0.000000,0.000000,-0.001953,
8.637997,foot_accel,0.812500,2.042969,-9.531250,
8.638625,shank_accel,-0.375000,2.402344,-9.675781,
8.638849,toe_fsr,4,,,
8.639231,encoder,121.113281,,,
8.639868,foot_gyro,-0.005859,0.000000,0.000000,
8.641397,shank_gyro,0.000000,0.000000,0.000000,
8.641402,shank_accel,-0.375000,2.441406,-9.714844,
8.641636,heel_fsr,415,,,
8.642416,foot_accel,0.812500,2.007812,-9.531250,
8.643258,encoder,121.113281,,,
8.644101,toe_fsr,4,,,
8.645325,shank_gyro,0.000000,0.000000,0.000000,
8.646382,foot_gyro,0.003906,0.000000,0.001953,
8.646631,heel_fsr,416,,,
8.647273,shank_accel,-0.335938,2.402344,-9.710938,
8.648110,foot_accel,0.851562,2.042969,-9.531250,
8.649167,shank_accel,-0.335938,2.402344,-9.710938,
8.649416,toe_fsr,-7,,,
8.649846,encoder,121.113281,,,
8.650906,foot_gyro,0.001953,-0.001953,0.003906,
8.651167,heel_fsr,407,,,
8.651830,shank_gyro,0.000000,0.000000,0.000000,
8.652666,foot_accel,0.812500,2.007812,-9.492188,
8.653324,shank_accel,-0.335938,2.402344,-9.632812,
8.653554,toe_fsr,0,,,
8.653947,encoder,121.113281,,,
8.654567,foot_accel,0.851562,2.007812,-9.531250,
8.655630,shank_gyro,0.000000,0.000000,0.000000,
8.655864,heel_fsr,422,,,
8.657075,foot_gyro,0.000000,0.001953,0.000000,
8.657690,shank_accel,-0.414062,2.441406,-9.671875,
8.657913,toe_fsr,8,,,
8.658294,encoder,121.113281,,,
8.658936,foot_accel,0.851562,2.007812,-9.492188,
8.660130,shank_gyro,0.000000,0.000000,0.000000,
8.660366,heel_fsr,423,,,
8.661573,foot_gyro,0.000000,-0.001953,0.003906,
8.662211,shank_accel,-0.335938,2.441406,-9.753906,
8.662435,toe_fsr,1,,,
8.663241,foot_accel,0.851562,2.007812,-9.531250,
8.663886,shank_accel,-0.335938,2.402344,-9.710938,
8.664150,encoder,121.113281,,,
8.665475,foot_gyro,-0.007812,0.003906,0.001953,
8.665742,heel_fsr,420,,,
8.666427,shank_gyro,0.000000,0.000000,0.000000,
8.667312,foot_accel,0.851562,2.007812,-9.531250,
8.667961,shank_accel,-0.375000,2.441406,-9.753906,
8.668215,toe_fsr,-1,,,
8.668650,encoder,121.113281,,,
8.669304,foot_gyro,0.003906,-0.001953,-0.001953,
8.669956,shank_gyro,0.000000,0.000000,0.000000,
8.670222,heel_fsr,412,,,
8.671547,foot_accel,0.812500,2.007812,-9.531250,
8.672178,shank_accel,-0.375000,2.441406,-9.714844,
8.672406,toe_fsr,7,,,
8.673795,shank_gyro,0.000000,0.000000,0.000000,
8.674027,encoder,121.113281,,,
8.674652,foot_accel,0.812500,2.007812,-9.531250,
8.674883,heel_fsr,419,,,
8.675965,shank_accel,-0.335938,2.363281,-9.675781,
8.677090,foot_gyro,0.000000,0.000000,-0.003906,
8.677906,toe_fsr,5,,,
8.678290,encoder,121.113281,,,
8.678928,foot_accel,0.812500,2.007812,-9.531250,
8.680177,shank_gyro,0.000000,0.000000,0.000000,
8.680410,heel_fsr,411,,,
8.681661,foot_gyro,-0.001953,0.000000,0.001953,
8.682311,shank_accel,-0.375000,2.402344,-9.710938,
8.682563,toe_fsr,-3,,,
8.683455,foot_accel,0.812500,2.007812,-9.492188,
8.684104,shank_accel,-0.335938,2.402344,-9.675781,
8.684354,heel_fsr,395,,,
8.684608,encoder,121.113281,,,
8.685860,foot_gyro,0.001953,0.000000,-0.001953,
8.686948,shank_gyro,0.000000,0.000000,0.000000,
8.687214,toe_fsr,2,,,
8.688092,foot_accel,0.812500,2.042969,-9.492188,
8.688784,shank_accel,-0.335938,2.441406,-9.671875,
8.689039,heel_fsr,402,,,
8.689297,encoder,121.113281,,,
8.690782,foot_accel,0.851562,2.007812,-9.531250,
8.691780,shank_gyro,0.000000,0.000000,0.000000,
8.692006,toe_fsr,4,,,
8.692797,foot_gyro,0.003906,0.000000,0.000000,
8.693421,shank_accel,-0.375000,2.402344,-9.710938,
8.693653,encoder,121.113281,,,
8.694274,foot_accel,0.812500,2.042969,-9.531250,
8.694505,heel_fsr,408,,,
8.695532,shank_gyro,0.000000,0.000000,0.000000,
8.696329,foot_gyro,0.005859,0.000000,0.000000,
8.697011,shank_accel,-0.375000,2.441406,-9.671875,
8.697234,toe_fsr,-1,,,
8.698006,foot_accel,0.812500,2.042969,-9.531250,
8.698839,encoder,121.113281,,,
8.699809,foot_gyro,-0.001953,0.001953,0.001953,
8.700042,heel_fsr,408,,,
8.701132,shank_gyro,0.000000,0.000000,0.000000,
8.702169,foot_accel,0.812500,2.007812,-9.492188,
8.702808,shank_accel,-0.375000,2.441406,-9.714844,
8.703057,toe_fsr,-2,,,
8.703494,encoder,121.113281,,,
8.705193,shank_accel,-0.375000,2.402344,-9.675781,
8.705456,heel_fsr,414,,,
8.706695,foot_gyro,0.001953,0.000000,-0.001953,
8.707349,shank_gyro,0.000000,0.000000,0.000000,
8.707623,toe_fsr,6,,,
8.708457,foot_accel,0.812500,2.007812,-9.492188,
8.709123,shank_accel,-0.375000,2.402344,-9.675781,
8.709376,heel_fsr,411,,,
8.709700,encoder,121.113281,,,
8.710895,foot_gyro,-0.005859,0.000000,0.000000,
8.712661,shank_gyro,0.000000,0.000000,0.000000,
8.712666,shank_accel,-0.375000,2.402344,-9.675781,
8.712894,toe_fsr,4,,,
8.713278,encoder,121.113281,,,
8.713900,foot_accel,0.812500,2.042969,-9.492188,
8.714738,heel_fsr,416,,,
8.716302,foot_accel,0.812500,2.007812,-9.492188,
8.716306,foot_gyro,0.000000,0.000000,0.001953,
8.716542,toe_fsr,-4,,,
8.717332,shank_gyro,0.000000,0.000000,0.000000,
8.717951,foot_accel,0.812500,2.042969,-9.531250,
8.718568,shank_accel,-0.375000,2.402344,-9.710938,
8.718985,heel_fsr,410,,,
8.719240,encoder,121.113281,,,
8.719904,foot_gyro,0.000000,-0.001953,0.003906,
8.720976,shank_gyro,0.000000,0.000000,0.000000,
8.722189,foot_accel,0.812500,2.042969,-9.492188,
8.722844,shank_accel,-0.335938,2.363281,-9.675781,
8.723094,toe_fsr,7,,,
8.723534,encoder,121.113281,,,
8.725405,shank_accel,-0.375000,2.363281,-9.710938,
8.725413,shank_gyro,0.000000,0.000000,0.000000,
8.725679,heel_fsr,418,,,
8.726935,foot_gyro,-0.001953,0.000000,0.000000,
8.727563,shank_accel,-0.375000,2.402344,-9.710938,
8.727789,toe_fsr,3,,,
8.728173,encoder,121.113281,,,
8.728806,foot_accel,0.812500,2.007812,-9.492188,
8.729426,shank_gyro,0.000000,0.000000,0.000000,
8.729659,heel_fsr,410,,,
8.730848,foot_gyro,0.001953,-0.001953,0.001953,
8.731882,shank_accel,-0.375000,2.402344,-9.675781,
8.732109,toe_fsr,-4,,,
8.732896,foot_accel,0.812500,2.007812,-9.492188,
8.733734,encoder,121.113281,,,
8.734361,foot_accel,0.851562,2.007812,-9.531250,
8.734593,heel_fsr,409,,,
8.735602,shank_gyro,0.000000,0.000000,0.000000,
8.736433,foot_gyro,-0.003906,0.000000,0.000000,
8.737084,shank_accel,-0.375000,2.363281,-9.710938,
8.737336,toe_fsr,0,,,
8.738172,foot_accel,0.851562,2.007812,-9.531250,
8.738830,shank_accel,-0.414062,2.402344,-9.675781,
8.739079,heel_fsr,419,,,
8.739335,encoder,121.113281,,,
8.740204,foot_gyro,-0.003906,0.000000,-0.001953,
8.740866,shank_gyro,0.000000,0.000000,0.000000,
8.741117,toe_fsr,7,,,
8.742225,foot_accel,0.812500,2.007812,-9.531250,
8.742872,shank_accel,-0.375000,2.441406,-9.714844,
8.743119,heel_fsr,423,,,
8.743400,encoder,121.113281,,,
8.744823,shank_gyro,0.000000,0.000000,0.000000,
8.746128,foot_gyro,0.003906,0.003906,0.003906,
8.747628,shank_accel,-0.335938,2.402344,-9.710938,
8.747909,toe_fsr,-2,,,
8.748327,encoder,121.113281,,,
8.748985,foot_accel,0.812500,2.007812,-9.492188,
8.750257,shank_gyro,0.000000,0.000000,0.000000,
8.750498,heel_fsr,403,,,
8.752246,foot_gyro,-0.001953,0.000000,0.003906,
