t_s,stream,v1,v2,v3,v4
4.530589,shank_gyro,-0.005859,-0.003906,0.005859,
4.530819,encoder,121.113281,,,
4.531660,heel_fsr,416,,,
4.532288,shank_accel,-0.335938,2.402344,-9.710938,
4.533500,foot_gyro,0.000000,0.000000,0.000000,
4.534137,shank_accel,-0.375000,2.363281,-9.675781,
4.534385,toe_fsr,0,,,
4.534826,encoder,121.113281,,,
4.535505,foot_accel,0.851562,1.968750,-9.492188,
4.536531,shank_gyro,0.005859,-0.001953,0.001953,
4.536796,heel_fsr,418,,,
4.538280,foot_accel,0.851562,2.042969,-9.531250,
4.538597,toe_fsr,6,,,
4.539988,shank_accel,-0.335938,2.402344,-9.675781,
4.540292,encoder,121.113281,,,
4.540971,foot_gyro,0.000000,0.000000,0.000000,
4.541263,heel_fsr,419,,,
4.542238,shank_gyro,-0.001953,-0.001953,-0.001953,
4.543123,foot_accel,0.812500,2.007812,-9.531250,
4.543807,shank_accel,-0.375000,2.402344,-9.710938,
4.544199,toe_fsr,1,,,
4.544605,encoder,121.113281,,,
4.545237,foot_gyro,0.000000,0.000000,0.000000,
4.546309,shank_gyro,0.003906,0.000000,-0.001953,
4.546543,heel_fsr,412,,,
4.547331,foot_accel,0.812500,2.007812,-9.531250,
4.547961,shank_accel,-0.335938,2.441406,-9.753906,
4.548582,foot_gyro,0.000000,0.000000,0.000000,
4.548808,toe_fsr,-7,,,
4.549594,shank_gyro,-0.003906,-0.001953,0.000000,
4.549826,encoder,121.113281,,,
4.550452,foot_accel,0.812500,2.007812,-9.531250,
4.550682,heel_fsr,425,,,
4.551736,shank_accel,-0.375000,2.441406,-9.714844,
4.552529,foot_gyro,0.000000,0.000000,0.000000,
4.554136,foot_accel,0.812500,2.007812,-9.531250,
4.554359,toe_fsr,4,,,
4.555609,shank_gyro,0.001953,0.001953,0.000000,
4.555889,encoder,121.113281,,,
4.556560,foot_accel,0.812500,2.007812,-9.531250,
4.556827,heel_fsr,423,,,
4.557482,shank_accel,-0.335938,2.402344,-9.710938,
4.558766,foot_gyro,0.000000,0.000000,0.000000,
4.559448,shank_accel,-0.335938,2.402344,-9.710938,
4.559705,toe_fsr,3,,,
4.560147,encoder,121.113281,,,
4.560834,foot_accel,0.851562,2.007812,-9.492188,
4.561914,shank_gyro,0.005859,0.003906,-0.003906,
4.562183,heel_fsr,421,,,
4.563256,foot_gyro,0.000000,0.000000,0.000000,
4.563885,shank_accel,-0.375000,2.441406,-9.714844,
4.564111,toe_fsr,-3,,,
4.564499,encoder,121.113281,,,
4.565124,foot_accel,0.851562,2.007812,-9.492188,
4.566144,shank_gyro,0.001953,-0.001953,0.001953,
4.566379,heel_fsr,417,,,
4.567182,foot_gyro,0.000000,0.000000,0.000000,
4.567803,shank_accel,-0.335938,2.402344,-9.710938,
4.568815,foot_accel,0.812500,2.007812,-9.531250,
4.569044,toe_fsr,0,,,
4.569841,shank_gyro,0.000000,0.000000,0.001953,
4.570075,encoder,121.113281,,,
4.570915,heel_fsr,416,,,
4.572018,shank_accel,-0.375000,2.402344,-9.710938,
4.573539,foot_gyro,0.000000,0.000000,0.000000,
4.573792,toe_fsr,7,,,
4.574623,shank_accel,-0.335938,2.402344,-9.710938,
4.574889,encoder,121.113281,,,
4.575568,foot_accel,0.812500,2.007812,-9.531250,
4.575834,heel_fsr,420,,,
