timestamp_s,foot_ax,foot_ay,foot_az,foot_gx,foot_gy,foot_gz,foot_qi,foot_qj,foot_qk,foot_qr,shank_ax,shank_ay,shank_az,shank_gx,shank_gy,shank_gz,shank_qi,shank_qj,shank_qk,shank_qr,ankle_encoder_deg,toe_fsr_raw,heel_fsr_raw
0.00449961300000723,,,,,,,,,,,,,,,,,,,,,,,
0.01016267499926471,,,,,,,,,,,,,,,,,,,,,169.541015625,,
0.02006786599940824,,,,,,,,,,,10.9453125,4.6875,-1.5,0.0,0.0,0.0,0.021728515625,-0.74029541015625,-0.02569580078125,0.67144775390625,169.365234375,21879,0
0.030064003999541455,,,,,,,,,,,10.9453125,4.6875,-1.5,0.0,0.0,0.0,0.021728515625,-0.74029541015625,-0.02569580078125,0.67144775390625,169.365234375,21879,0
0.04006670399940049,9.91015625,-3.640625,-1.19921875,-0.0546875,0.103515625,-0.216796875,-0.10540771484375,-0.75439453125,0.12261962890625,0.63623046875,10.9453125,4.6875,-1.5,0.0,0.0,0.0,0.021728515625,-0.74029541015625,-0.02569580078125,0.67144775390625,168.75,21879,420
0.050065114999597427,9.91015625,-3.640625,-1.19921875,-0.0546875,0.103515625,-0.216796875,-0.10540771484375,-0.75439453125,0.12261962890625,0.63623046875,10.9453125,4.6875,-1.5,0.0,0.0,0.0,0.021728515625,-0.74029541015625,-0.02569580078125,0.67144775390625,168.486328125,21879,420
0.06006720599998516,9.91015625,-3.640625,-1.19921875,-0.0546875,0.103515625,-0.216796875,-0.10540771484375,-0.75439453125,0.12261962890625,0.63623046875,9.72265625,6.3359375,-2.1875,-0.552734375,0.08984375,-2.853515625,0.0587158203125,-0.73638916015625,-0.07232666015625,0.670166015625,168.134765625,8104,420
0.07006340799944155,10.75,-3.22265625,-0.89453125,-0.0546875,0.103515625,-0.216796875,-0.10540771484375,-0.75439453125,0.12261962890625,0.63623046875,9.72265625,6.3359375,-2.1875,-0.552734375,0.08984375,-2.853515625,0.0587158203125,-0.73638916015625,-0.07232666015625,0.670166015625,167.87109375,1226,478
0.0800714839997454,10.75,-3.22265625,-0.89453125,-0.416015625,0.568359375,-2.716796875,-0.10540771484375,-0.75439453125,0.12261962890625,0.63623046875,5.74609375,4.11328125,-1.95703125,-0.6328125,0.2421875,-2.216796875,0.0587158203125,-0.73638916015625,-0.07232666015625,0.670166015625,167.34375,1226,322
0.09007511099935073,10.75,-3.22265625,-0.89453125,-0.416015625,0.568359375,-2.716796875,0.20037841796875,-0.66192626953125,-0.1680908203125,0.70245361328125,5.74609375,4.11328125,-1.95703125,-0.6328125,0.2421875,-2.216796875,0.0850830078125,-0.72906494140625,-0.11309814453125,0.669677734375,167.080078125,8,322
